bib,fullname,sex,age,category,country_code,club,utmb_index,rank_scratch,rank_sex,rank_cat,race_time,diff_to_first,is_finisher,status,start_time,profile_url,race_time_seconds,total_rest_time,total_rest_time_seconds,n_passings
1404,Guillem PELISSIER,H,46,45-49M,FR,NA,560,555,471,65,34:45:36,16:29:07,TRUE,f,2026-08-28T17:50:58.440Z,https://utmb.world/runner/726146.guillem.pelissier,125136.15,2:08:53,7732.839999999999,27
380,Nisachon MORGAN,F,45,45-49W,TH,XREAL TROOP,603,556,85,9,34:45:51,16:29:22,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/3982061.nisachon.morgan,125151.63,2:14:01,8041.15,27
1388,Nikolai QUIGLEY,H,31,20-34M,US,NA,559,557,472,146,34:49:58,16:33:29,TRUE,f,2026-08-28T17:52:27.000Z,https://utmb.world/runner/5585986.nikolai.quigley,125398.22,1:54:39,6879.499999999999,27
1039,Léo GALLET,H,32,20-34M,FR,NA,608,558,473,147,34:50:38,16:34:09,TRUE,f,2026-08-28T17:49:24.530Z,https://utmb.world/runner/5510840.leo.gallet,125437.83,3:11:24,11483.97,27
1123,Jordan BOUTHERIN,H,35,35-39M,FR,NA,595,559,474,122,34:50:47,16:34:18,TRUE,f,2026-08-28T17:49:30.330Z,https://utmb.world/runner/3420673.jordan.boutherin,125447.24,4:02:52,14572.050000000001,27
785,Johann VAILLANT,H,40,40-44M,FR,Team C-RAIDE,653,560,475,105,34:52:45,16:36:16,TRUE,f,2026-08-28T17:50:58.920Z,https://utmb.world/runner/987397.johann.vaillant,125564.46,2:07:50,7670.16,27
1276,Jean Baptiste HANTON,H,50,50-54M,FR,ECSA,575,561,476,28,34:55:19,16:38:50,TRUE,f,2026-08-28T17:50:22.230Z,https://utmb.world/runner/244403.jeanbaptiste.hanton,125719.45,2:50:40,10239.83,27
896,David GUILLIER,H,41,40-44M,FR,NA,628,562,477,106,34:59:47,16:43:18,TRUE,f,2026-08-28T17:49:23.810Z,https://utmb.world/runner/4007595.david.guillier,125987,2:19:04,8343.89,27
1016,Harry MURDOCH,H,34,20-34M,AU,NA,610,563,478,148,34:59:56,16:43:27,TRUE,f,2026-08-28T17:52:32.410Z,https://utmb.world/runner/4158223.harry.murdoch,125996.49,1:52:37,6757.4,27
1244,Nicolas GOSSET,H,40,40-44M,FR,NA,579,564,479,107,35:00:57,16:44:28,TRUE,f,2026-08-28T17:51:57.330Z,https://utmb.world/runner/4901194.nicolas.gosset,126056.87,3:23:01,12180.83,27
856,Tim AITKEN,H,51,50-54M,AU,NA,637,565,480,29,35:03:44,16:47:15,TRUE,f,2026-08-28T17:49:49.740Z,https://utmb.world/runner/5718705.tim.aitken,126223.5,3:17:22,11841.710000000001,27
1209,Brandon LAI,H,33,20-34M,FR,NA,584,566,481,149,35:04:31,16:48:02,TRUE,f,2026-08-28T17:51:53.340Z,https://utmb.world/runner/4289169.brandon.lai,126271.38,1:40:18,6017.6,27
1245,Laurent PARDON,H,40,40-44M,BE,VICTOR HADRIEN CHARLES,579,567,482,108,35:05:14,16:48:45,TRUE,f,2026-08-28T17:52:03.860Z,https://utmb.world/runner/1010239.laurent.pardon,126313.87,3:32:26,12746.499999999998,27
1651,Benoit DESACHY,H,57,55-59M,FR,Lyon,532,568,483,7,35:07:14,16:50:45,TRUE,f,2026-08-28T17:50:05.360Z,https://utmb.world/runner/177732.benoit.desachy,126434.12,2:13:40,8019.91,27
194,Cecilia MATTAS,F,35,35-39W,AU,NA,682,569,86,31,35:09:27,16:52:58,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/3104419.cecilia.mattas,126567.92,3:13:16,11595.68,27
1001,Eric BRANDT,H,56,55-59M,US,NA,613,570,484,8,35:10:17,16:53:48,TRUE,f,2026-08-28T17:50:05.720Z,https://utmb.world/runner/853389.eric.brandt,126616.83,2:23:11,8590.851,27
1023,Riccardo MALACRIDA,H,39,35-39M,IT,DU Coaching,610,571,485,123,35:11:26,16:54:57,TRUE,f,2026-08-28T17:51:05.780Z,https://utmb.world/runner/3308533.riccardo.malacrida,126685.37,1:31:44,5504.129999999999,27
1316,Tiago MACHADO,H,54,50-54M,PT,Monsanto Running Team,568,572,486,30,35:11:42,16:55:13,TRUE,f,2026-08-28T17:52:18.000Z,https://utmb.world/runner/773372.tiago.machado,126702.63,3:10:20,11420.28,27
1485,Alan GAVARIN,H,37,35-39M,FR,Barbell Union,582,573,487,124,35:12:48,16:56:19,TRUE,f,2026-08-28T17:51:42.870Z,https://utmb.world/runner/851090.alan.gavarin,126767.68,2:38:05,9484.5,27
338,Junko YANO,F,52,50-54W,JP,Team100mile,621,574,87,3,35:12:52,16:56:23,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/2215069.junko.yano,126772.07,1:46:29,6389.16,27
1314,Alexandre BRIOT,H,47,45-49M,FR,Total Technical Touch Telecom Trail Team,568,575,488,66,35:13:13,16:56:44,TRUE,f,2026-08-28T17:50:41.640Z,https://utmb.world/runner/6020.alexandre.briot,126793.19,3:25:11,12310.89,27
1187,Nicola CLOS,H,43,40-44M,CH,Team Kipfmuller,586,576,489,109,35:13:19,16:56:50,TRUE,f,2026-08-28T17:49:50.200Z,https://utmb.world/runner/6453886.nicola.clos,126799.7,2:00:46,7246.379999999999,27
1088,Arturo GARCIA-HUIDOBRO PRIETO,H,48,45-49M,CL,Hampstead Heath Huevones,600,577,490,67,35:15:36,16:59:07,TRUE,f,2026-08-28T17:50:45.730Z,https://utmb.world/runner/2170249.arturo.garciahuidobroprieto,126935.99,2:33:28,9208.289999999999,27
1321,Julien MENDES,H,40,40-44M,FR,SAFRAN / UPTB,567,578,491,110,35:16:28,16:59:59,TRUE,f,2026-08-28T17:50:28.000Z,https://utmb.world/runner/1907841.julien.mendes,126988.75,1:31:20,5479.620000000001,27
646,Kevin MONCELLI,H,28,20-34M,FR,NA,700,579,492,150,35:16:39,17:00:10,TRUE,f,2026-08-28T17:48:55.860Z,https://utmb.world/runner/5544256.kevin.moncelli,126998.16,1:12:22,4341.5999999999995,27
1589,Giles NEWMARCH,H,46,45-49M,GB,NA,539,580,493,68,35:16:44,17:00:15,TRUE,f,2026-08-28T17:52:44.920Z,https://utmb.world/runner/5825511.giles.newmarch,127003.13,1:03:26,3805.57,27
916,Nicolas ZARADZKI,H,41,40-44M,FR,NA,625,581,494,111,35:16:56,17:00:27,TRUE,f,2026-08-28T17:49:02.960Z,https://utmb.world/runner/3771739.nicolas.zaradzki,127015.13,2:44:09,9849.34,27
1111,Roser NICOLAU,F,49,45-49W,ES,15 CUMBRES,602,582,88,10,35:18:35,17:02:06,TRUE,f,2026-08-28T17:51:53.140Z,https://utmb.world/runner/1338983.roser.nicolau,127115.85,2:09:33,7773.16,27
1178,Vittorio SILVA,H,40,40-44M,IT,Atletica Franciacorta,588,583,495,112,35:20:23,17:03:54,TRUE,f,2026-08-28T17:49:19.180Z,https://utmb.world/runner/999351.vittorio.silva,127223.05,1:58:24,7104.13,27
731,Antonio KARANFILOSKI,H,30,20-34M,MK,I don't have,669,584,496,151,35:20:25,17:03:56,TRUE,f,2026-08-28T17:50:52.810Z,https://utmb.world/runner/1639357.antonio.karanfiloski,127224.72,1:27:30,5250.01,27
1759,Ben BATE,H,44,40-44M,GB,NA,520,585,497,113,35:20:48,17:04:19,TRUE,f,2026-08-28T17:51:04.840Z,https://utmb.world/runner/5531458.ben.bate,127247.19,1:56:46,7006.139999999999,27
1307,Loic LEGRAS,H,43,40-44M,FR,US CAMON,569,586,498,114,35:21:15,17:04:46,TRUE,f,2026-08-28T17:52:26.220Z,https://utmb.world/runner/4443094.loic.legras,127275.72,2:04:57,7496.549999999999,27
650,Nicolas VRAUNAT,H,41,40-44M,FR,copenor running,699,587,499,115,35:21:16,17:04:47,TRUE,f,2026-08-28T17:50:02.610Z,https://utmb.world/runner/344871.nicolas.vraunat,127275.82,3:22:32,12152.390000000001,27
888,Jacinto GONZALEZ SAENZ,H,55,55-59M,ES,GANGUREN M.T.,630,588,500,9,35:21:37,17:05:08,TRUE,f,2026-08-28T17:49:32.840Z,https://utmb.world/runner/172629.jacinto.gonzalezsaenz,127296.73,1:46:14,6373.679999999999,27
1607,Gregory LARSON,H,59,55-59M,US,NA,603,589,501,10,35:21:41,17:05:12,TRUE,f,2026-08-28T17:51:14.110Z,https://utmb.world/runner/6852639.gregory.larson,127301.56,1:10:46,4245.7300000000005,27
934,Olivier LAFARGE,H,49,45-49M,FR,NA,621,590,502,69,35:22:32,17:06:03,TRUE,f,2026-08-28T17:48:57.360Z,https://utmb.world/runner/4943357.olivier.lafarge,127351.69,2:57:28,10648.32,27
1560,Yannick JANSEN,H,41,40-44M,FR,NA,541,591,503,116,35:22:38,17:06:09,TRUE,f,2026-08-28T17:50:59.190Z,https://utmb.world/runner/5316146.yannick.jansen,127357.98,0:57:43,3463.32,27
1175,Vitor DINIZ,H,55,55-59M,PT,Clube de Atletismo de Ferreira do Zêzere,588,592,504,11,35:22:51,17:06:22,TRUE,f,2026-08-28T17:51:19.130Z,https://utmb.world/runner/2406877.vitor.diniz,127371.04,2:57:18,10638,27
1531,Maurane DE VROEY,F,30,20-34W,BE,Sportex Team,545,593,89,30,35:23:50,17:07:21,TRUE,f,2026-08-28T17:50:17.320Z,https://utmb.world/runner/4250075.maurane.devroey,127430.26,1:31:31,5491.280000000001,27
1106,Iñaki SANCHO DE LA GARZA,H,42,40-44M,ES,GANERANTZ M.T.,597,594,505,117,35:24:46,17:08:17,TRUE,f,2026-08-28T17:50:38.130Z,https://utmb.world/runner/740181.inaki.sanchodelagarza,127485.87,2:59:59,10798.630000000001,27
1156,Damien CARFANTAN,H,39,35-39M,FR,Team LASA,590,595,506,125,35:24:53,17:08:24,TRUE,f,2026-08-28T17:52:21.650Z,https://utmb.world/runner/941467.damien.carfantan,127492.93,4:01:04,14464.37,27
2105,Sofiane SROUTTA-PAILLUSSEAU,H,43,40-44M,FR,NA,485,596,507,118,35:25:39,17:09:10,TRUE,f,2026-08-28T17:50:04.090Z,https://utmb.world/runner/178013.sofiane.srouttapaillusseau,127539.71,1:47:26,6446.369999999999,27
1150,Thibaud SIMONNET,H,35,35-39M,FR,NA,591,597,508,126,35:28:32,17:12:03,TRUE,f,2026-08-28T17:49:09.930Z,https://utmb.world/runner/4473235.thibaud.simonnet,127711.44,2:34:52,9292.470000000001,27
1439,Eduardo AMBROSIO,H,44,40-44M,BR,JVM Trail Run,554,598,509,119,35:28:45,17:12:16,TRUE,f,2026-08-28T17:51:14.420Z,https://utmb.world/runner/4915151.eduardo.ambrosio,127725.27,2:53:25,10404.960000000001,27
1453,Wai Kei LAM,H,52,50-54M,HK,Follow Me,553,599,510,31,35:29:20,17:12:51,TRUE,f,2026-08-28T17:49:43.810Z,https://utmb.world/runner/1244561.waikei.lam,127759.59,1:51:05,6665.25,27
935,Simon CHIFFOLEAU,H,31,20-34M,FR,NA,622,600,511,152,35:29:25,17:12:56,TRUE,f,2026-08-28T17:49:27.430Z,https://utmb.world/runner/4674471.simon.chiffoleau,127764.93,2:21:08,8468.23,27
1021,Sébastien LEDIG,H,42,40-44M,FR,Team Kiprun,610,601,512,120,35:30:10,17:13:41,TRUE,f,2026-08-28T17:49:15.270Z,https://utmb.world/runner/4015230.sebastien.ledig,127810.1,2:48:35,10114.61,27
877,Matt PEHARDA,H,38,35-39M,US,NA,632,602,513,127,35:30:14,17:13:45,TRUE,f,2026-08-28T17:49:45.360Z,https://utmb.world/runner/367892.matt.peharda,127814.03,3:04:38,11078.210000000001,27
993,Aurélien MUSY,H,34,20-34M,FR,Duc Army / MSN73,615,603,514,153,35:33:33,17:17:04,TRUE,f,2026-08-28T17:49:42.430Z,https://utmb.world/runner/4654816.aurelien.musy,128012.89,3:28:14,12494.35,27
1109,Juliane HOFMANN,F,38,35-39W,DE,NA,660,604,90,32,35:33:53,17:17:24,TRUE,f,2026-08-28T17:52:27.990Z,https://utmb.world/runner/2501101.juliane.hofmann,128032.07,4:23:20,15799.939999999999,27
1308,Mickael DI COSTANZO,H,44,40-44M,FR,Le bol d'air gignacois/ team Torquebiau,569,605,515,121,35:36:27,17:19:58,TRUE,f,2026-08-28T17:49:13.240Z,https://utmb.world/runner/2150225.mickael.dicostanzo,128187.09,2:26:45,8804.65,27
1588,Valentin BOURGEOIS,H,49,45-49M,FR,NA,538,606,516,70,35:38:48,17:22:19,TRUE,f,2026-08-28T17:51:00.050Z,https://utmb.world/runner/243345.valentin.bourgeois,128328.34,3:44:35,13475.210000000001,27
1246,Davide DONINA,H,52,50-54M,IT,ASD 3SantiTrail,581,607,517,32,35:40:15,17:23:46,TRUE,f,2026-08-28T17:49:41.610Z,https://utmb.world/runner/525111.davide.donina,128415.28,3:14:07,11646.629999999997,27
756,Abdulkadir TOPKARAOGLU,H,37,35-39M,TR,Turkish Airlines Running Club,659,608,518,128,35:40:30,17:24:01,TRUE,f,2026-08-28T17:51:02.350Z,https://utmb.world/runner/4168357.abdulkadir.topkaraoglu,128430.26,2:00:38,7238.129999999999,27
1360,Claude FAGOUET,H,47,45-49M,FR,Haltsu Team,562,609,519,71,35:40:45,17:24:16,TRUE,f,2026-08-28T17:49:49.750Z,https://utmb.world/runner/1522255.claude.fagouet,128444.28,1:34:41,5681.410000000001,27
1428,Andre STUDER,H,48,45-49M,CH,NA,562,610,520,72,35:41:00,17:24:31,TRUE,f,2026-08-28T17:50:45.260Z,https://utmb.world/runner/2292835.andre.studer,128460.38,2:36:57,9416.9,27
652,Yongkang ZHOU,H,35,35-39M,CN,NA,698,611,521,129,35:41:16,17:24:47,TRUE,f,2026-08-28T17:51:35.790Z,https://utmb.world/runner/3490075.yongkang.zhou,128475.47,3:03:24,11003.58,27
1333,Jean Pascal BERNARD HERVE,H,50,50-54M,FR,Armée du Salut - Team Autour Du Trail,564,612,522,33,35:41:47,17:25:18,TRUE,f,2026-08-28T17:49:10.900Z,https://utmb.world/runner/553798.jeanpascal.bernardherve,128506.25,1:37:17,5837.18,27
540,Jorge MARAVILLA,H,49,45-49M,US,Annecy Athletisme,756,613,523,73,35:42:33,17:26:04,TRUE,f,2026-08-28T17:48:54.210Z,https://utmb.world/runner/4686.jorge.maravilla,128553.57,2:47:01,10020.92,27
1171,Pablo Sebastian BONILLA,H,48,45-49M,AR,NA,589,613,523,73,35:42:33,17:26:04,TRUE,f,2026-08-28T17:50:56.170Z,https://utmb.world/runner/1784635.pablosebastian.bonilla,128553.67,1:00:54,3653.7900000000004,27
